timestamp,market_slug,side,entry_price,shares,outcome,pnl_usd
2026-04-19 17:44:51,btc-updown-5m-1776638400,UP,0.97,5,Up,0.15
2026-04-19 17:44:54,btc-updown-5m-1776638400,UP,0.97,5,Up,0.15
2026-04-19 17:48:31,btc-updown-5m-1776638700,DOWN,0.78,6,Down,1.32
2026-04-19 17:53:30,btc-updown-5m-1776639000,UP,0.96,5,Up,0.2
2026-04-19 17:58:31,btc-updown-5m-1776639300,DOWN,0.71,7,Down,2.03
2026-04-19 18:08:31,btc-updown-5m-1776639900,DOWN,0.72,6,Up,-4.32
2026-04-19 18:09:35,btc-updown-5m-1776639900,DOWN,0.17,29,Up,-4.93
2026-04-19 18:09:38,btc-updown-5m-1776639900,DOWN,0.14,35,Up,-4.9
2026-04-19 18:09:41,btc-updown-5m-1776639900,DOWN,0.08,62,Up,-4.96
2026-04-19 18:09:44,btc-updown-5m-1776639900,DOWN,0.08,62,Up,-4.96
2026-04-19 18:09:47,btc-updown-5m-1776639900,DOWN,0.03,166,Up,-4.98
2026-04-19 18:09:50,btc-updown-5m-1776639900,DOWN,0.02,250,Up,-5.0
2026-04-19 18:09:53,btc-updown-5m-1776639900,DOWN,0.02,250,Up,-5.0
2026-04-19 18:09:56,btc-updown-5m-1776639900,DOWN,0.02,250,Up,-5.0
2026-04-19 18:13:50,btc-updown-5m-1776640200,UP,0.81,6,Up,1.14
2026-04-19 18:18:38,btc-updown-5m-1776640500,DOWN,0.97,5,Down,0.15
2026-04-19 18:23:47,btc-updown-5m-1776640800,DOWN,0.71,7,Down,2.03
2026-04-19 18:28:31,btc-updown-5m-1776641100,UP,0.83,6,Up,1.02
2026-04-19 18:29:36,btc-updown-5m-1776641100,UP,0.6,8,Up,3.2
2026-04-19 18:29:39,btc-updown-5m-1776641100,UP,0.72,6,Up,1.68
2026-04-19 18:29:42,btc-updown-5m-1776641100,UP,0.77,6,Up,1.38
2026-04-19 18:29:45,btc-updown-5m-1776641100,UP,0.85,5,Up,0.75
2026-04-19 18:29:48,btc-updown-5m-1776641100,UP,0.93,5,Up,0.35
2026-04-19 18:29:51,btc-updown-5m-1776641100,UP,0.86,5,Up,0.7
2026-04-19 18:29:54,btc-updown-5m-1776641100,UP,0.92,5,Up,0.4
